model,stage,metric,step,loss
micro-11k,pretrain,pretrain,0,5.25234340
micro-11k,pretrain,pretrain,1,5.22762685
micro-11k,pretrain,pretrain,10,4.72587790
micro-11k,pretrain,pretrain,20,3.57336896
micro-11k,pretrain,pretrain,30,2.15397512
micro-11k,pretrain,pretrain,40,1.02922231
micro-11k,pretrain,pretrain,50,0.41612737
micro-11k,pretrain,pretrain,60,0.17793170
micro-11k,pretrain,pretrain,70,0.09798491
micro-11k,pretrain,pretrain,80,0.06600416
micro-11k,pretrain,pretrain,90,0.05068309
micro-11k,pretrain,pretrain,100,0.04264285
micro-11k,pretrain,pretrain,110,0.03754404
micro-11k,pretrain,pretrain,120,0.03430336
micro-11k,pretrain,pretrain,130,0.03193188
micro-11k,pretrain,pretrain,140,0.02993214
micro-11k,pretrain,pretrain,150,0.02851350
micro-11k,pretrain,pretrain,160,0.02735063
micro-11k,pretrain,pretrain,170,0.02637860
micro-11k,pretrain,pretrain,180,0.02553557
micro-11k,sft,target,0,8.01898360
micro-11k,sft,target,1,7.30304484
micro-11k,sft,target,10,2.31305150
micro-11k,sft,target,20,0.82884775
micro-11k,sft,target,30,0.71544020
micro-11k,sft,target,40,0.68531557
micro-11k,sft,target,50,0.69316902
micro-11k,sft,target,60,0.68240876
micro-11k,sft,target,70,0.65608800
micro-11k,sft,target,80,0.63566593
micro-11k,sft,target,90,0.61751333
micro-11k,sft,target,100,0.60661817
micro-11k,sft,target,110,0.59932278
micro-11k,sft,target,120,0.59576506
micro-11k,sft,target,130,0.59512895
micro-11k,sft,target,140,0.59514166
micro-11k,sft,retain,0,0.24914648
micro-11k,sft,retain,1,0.24832728
micro-11k,sft,retain,10,0.27440100
micro-11k,sft,retain,20,0.34198842
micro-11k,sft,retain,30,0.40285986
micro-11k,sft,retain,40,0.43928427
micro-11k,sft,retain,50,0.45635101
micro-11k,sft,retain,60,0.46369012
micro-11k,sft,retain,70,0.46658824
micro-11k,sft,retain,80,0.46786086
micro-11k,sft,retain,90,0.46860032
micro-11k,sft,retain,100,0.46932581
micro-11k,sft,retain,110,0.47014638
micro-11k,sft,retain,120,0.47106620
micro-11k,sft,retain,130,0.47190514
micro-11k,sft,retain,140,0.47274736
micro-40k,pretrain,pretrain,0,5.25640611
micro-40k,pretrain,pretrain,1,5.16304470
micro-40k,pretrain,pretrain,10,3.44548512
micro-40k,pretrain,pretrain,20,0.78446376
micro-40k,pretrain,pretrain,30,0.05181164
micro-40k,pretrain,pretrain,40,0.01970261
micro-40k,pretrain,pretrain,50,0.01683668
micro-40k,pretrain,pretrain,60,0.01637305
micro-40k,pretrain,pretrain,70,0.01975189
micro-40k,pretrain,pretrain,80,0.02153659
micro-40k,pretrain,pretrain,90,0.01828997
micro-40k,pretrain,pretrain,100,0.01623193
micro-40k,pretrain,pretrain,110,0.01431232
micro-40k,pretrain,pretrain,120,0.01569394
micro-40k,pretrain,pretrain,130,0.01793468
micro-40k,pretrain,pretrain,140,0.01828655
micro-40k,pretrain,pretrain,150,0.01896278
micro-40k,pretrain,pretrain,160,0.01994441
micro-40k,pretrain,pretrain,170,0.02027629
micro-40k,pretrain,pretrain,180,0.02051511
micro-40k,sft,target,0,7.18748219
micro-40k,sft,target,1,5.76323340
micro-40k,sft,target,10,1.23958772
micro-40k,sft,target,20,0.50025265
micro-40k,sft,target,30,0.24441609
micro-40k,sft,target,40,0.16816676
micro-40k,sft,target,50,0.15537522
micro-40k,sft,target,60,0.15099275
micro-40k,sft,target,70,0.14855090
micro-40k,sft,target,80,0.14697385
micro-40k,sft,target,90,0.14627395
micro-40k,sft,target,100,0.14611159
micro-40k,sft,target,110,0.14605054
micro-40k,sft,target,120,0.14609465
micro-40k,sft,target,130,0.14619303
micro-40k,sft,target,140,0.14639494
micro-40k,sft,retain,0,0.29043016
micro-40k,sft,retain,1,0.28131082
micro-40k,sft,retain,10,0.23365292
micro-40k,sft,retain,20,0.22752613
micro-40k,sft,retain,30,0.23792163
micro-40k,sft,retain,40,0.25003972
micro-40k,sft,retain,50,0.25622085
micro-40k,sft,retain,60,0.25874783
micro-40k,sft,retain,70,0.25971901
micro-40k,sft,retain,80,0.26009806
micro-40k,sft,retain,90,0.26026384
micro-40k,sft,retain,100,0.26037052
micro-40k,sft,retain,110,0.26044797
micro-40k,sft,retain,120,0.26052071
micro-40k,sft,retain,130,0.26059591
micro-40k,sft,retain,140,0.26066183
